date;number_of_available_bikes
2025-02-15;188
2025-02-16;206
2025-02-17;187
2025-02-18;188
2025-02-19;185
2025-02-20;185
2025-02-21;185
2025-02-22;184
2025-02-23;175
2025-02-24;177
2025-02-25;246
2025-02-26;239
2025-02-27;313
2025-02-28;303
2025-03-01;301
2025-03-02;302
2025-03-03;300
2025-03-04;301
2025-03-05;300
2025-03-06;299
2025-03-07;300
2025-03-08;299
2025-03-09;298
2025-03-10;296
2025-03-11;295
2025-03-12;297
2025-03-13;310
2025-03-14;311
2025-03-15;291
2025-03-16;315
2025-03-17;293
2025-03-18;292
2025-03-19;294
2025-03-20;291
2025-03-21;293
2025-03-22;301
2025-03-23;312
2025-03-24;302
2025-03-25;303
2025-03-26;301
2025-03-27;301
2025-03-28;299
2025-03-29;298
2025-03-30;299
2025-03-31;296
2025-04-01;295
2025-04-02;292
2025-04-03;344
2025-04-04;310
2025-04-05;332
2025-04-06;316
2025-04-07;316
2025-04-08;314
2025-04-09;314
2025-04-10;393
2025-04-11;389
2025-04-12;406
2025-04-13;399
2025-04-14;398
2025-04-15;399
2025-04-16;398
